Column1,"
Location",Ward,City,latitude,longitude,Area(sq km),Population Density (per sq km)
0,Naxal,Ward 1,Kathmandu,27.7126782,85.3287033,1.3818,5795
1,Lazimpat,Ward 2,Kathmandu,27.7215082,85.3207646,0.8181,16438
2,Maharajgunj,Ward 3,Kathmandu,27.7330791,85.3288072,3.0854,11300
3,"Baluwatar,",Ward 4,Kathmandu,27.7246028,85.3310167,3.3498,14139
4,Tangal,Ward 5,Kathmandu,27.7172307,85.3304488,0.7875,23263
5,Bouddha,Ward 6,Kathmandu,27.7220534,85.3620811,3.6078,16726
6,Mitrapark,Ward 7,Kathmandu,27.71336,85.3450409,1.7481,29507
7,Jayabageshwori,Ward 8,Kathmandu,27.7103357,85.34402477,2.9181,3680
8,Gaushala,Ward 9,Kathmandu,27.7097063,85.34640941,2.9378,13742
9,New Baneshwor,Ward 10,Kathmandu,27.6926211,85.3380718,1.5643,25455
10,Tripureshwor,Ward 11,Kathmandu,27.695,85.3149,1.8126,9801
11,Kalimati,Ward 12 and 13,Kathmandu,27.698583,85.299157,2.7843,19293
12,Kalanki,Ward 14,Kathmandu,27.6932983,85.2816525,3.4651,16881
13,Swayambhu,Ward 15,Kathmandu,27.7161935,85.2838241,3.3358,16331
14,Sohrakhutte,Ward 16,Kathmandu,27.7254063,85.3054571,4.6335,18224
15,Chhetrapati,Ward 17,Kathmandu,27.7112071,85.3086148,0.6661,38922
16,Bhimsenthan,"Ward 18,19,20,21",Kathmandu,27.703,85.3036,0.6416,71933
17,Om Bahal,"Ward 22,23,24,25",Kathmandu,27.7015,85.308,0.6624,57920
18,Lainchaur,Ward 26 and 27,Kathmandu,27.71941,85.315162,2.2303,24039
19,Purano Buspark,Ward 28,Kathmandu,27.7053,85.3149,1.0369,15634
20,Dillibazar,Ward 29,Kathmandu,27.706321,85.3271617,1.279,26048
21,Gyaneshwor,Ward 30,Kathmandu,27.7082182,85.3313832,0.8598,29884
22,Bhimsengola,Ward 31,Kathmandu,27.6998367,85.3443133,2.3532,28098
23,Koteshwor,Ward 32,Kathmandu,27.679087,85.347599,3.9822,19160
24,Sanepa,Ward 2,Lalitpur,27.6837719,85.309353,1.1115,17148
25,Pulchowk,Ward 3,Lalitpur,27.6783567,85.3206084,1.6523,8522
26,Jawalakhel,Ward 4,Lalitpur,27.6724402,85.3133757,2.0386,7538
27,Lagankhel,Ward 5,Lalitpur,27.6668726,85.3236357,0.7635,8387
28,Kanibahal,"Ward 6, 7 and 8",Lalitpur,27.6667273,85.3280068,0.9305,89212
29,Bhol Dhoka,Ward 9,Lalitpur,27.6714,85.3324,0.7677,18146
30,Kupandole,Ward 10,Lalitpur,27.6862,85.3149,0.7619,8602
31,Kusunti,Ward 13,Lalitpur,27.6639122,85.3148968,0.7513,19788
32,Nakhipot,Ward 14,Lalitpur,27.6503928,85.3207649,1.7205,12341
33,Satdobato,Ward 15,Lalitpur,27.657521,85.3250564,2.2807,6076
34,Sainbhu,Ward 18,Lalitpur,27.6493,85.3059,2.0056,4062
35,Khokhana,Ward 21,Lalitpur,27.6431,85.2955,3.1696,1554
36,Bungmati,Ward 22,Lalitpur,27.6285987,85.303669,3.8884,1534
37,Dhapakhel,Ward 23 and 24,Lalitpur,27.6279927,85.3323532,3.6718,7342
38,Bhaisepati,Ward 25,Lalitpur,27.6561677,85.3060365,2.1131,5478
39,Chibahal Sunakothi,Ward 26,Lalitpur,27.6428,85.3173,1.55,3750
40,Sunakothi,Ward 27,Lalitpur,27.6349636,85.3165256,1.4675,2976
41,Kanikhel Harisiddhi,Ward 28,Lalitpur,27.64304,85.3478,1.8037,3646
42,Lakhapukhu Harisiddhi,Ward 29,Lalitpur,27.6338,85.3419,1.2962,3209
43,mini Bus park,Ward 1,Bhaktapur,27.68401389,85.42279647,1.2962,9901
44,Duwakot,Ward 2,Bhaktapur,27.70393659,85.4550683,1.2962,10553
45,madhyapur thimi,Ward 3,Bhaktapur,,,1.2962,5909
46,Nagarkot Road,Ward 4,Bhaktapur,27.68848453,85.43167256,1.2962,8248
47,Rammandir road,Ward 5,Bhaktapur,27.66991041,85.43034742,1.2962,6425
48,Incho - hanumanghat road,Ward 6,Bhaktapur,27.67173475,85.43549726,1.2962,7212
49,Golmadhi,Ward 7,Bhaktapur,27.67678219,85.42999962,1.2962,7563
50,,Ward 8,Bhaktapur,27.66996029,85.44038425,1.2962,6694
51,Dattatraya Temple,Ward 9,Bhaktapur,27.67449,85.43519149,1.2962,8232
52,Gaurd Kundal Road,Ward 10,Bhaktapur,27.67825,85.43686519,1.2962,11011
